Counter[flat='Квартира №96', number='21968073', date=null, t1=58.221, t2=34.933, t3=118.285, total=211.439]
Counter[flat='Квартира №90', number='21968383', date=null, t1=85.993, t2=32.383, t3=96.558, total=214.934]
Counter[flat='Квартира №64', number='21968468', date=null, t1=71.562, t2=51.406, t3=94.830, total=217.798]
Counter[flat='Квартира №79', number='21967555', date=null, t1=61.366, t2=42.474, t3=115.239, total=219.079]
Counter[flat='Квартира №130', number='21967952', date=null, t1=66.564, t2=54.137, t3=102.687, total=223.388]
Counter[flat='Квартира №42', number='21666910', date=null, t1=94.405, t2=36.835, t3=97.644, total=228.884]
Counter[flat='Квартира №67', number='21967528', date=null, t1=96.924, t2=30.687, t3=103.616, total=231.227]
Counter[flat='Квартира №112', number='21971429', date=null, t1=97.014, t2=32.860, t3=109.774, total=239.648]
Counter[flat='Квартира №12', number='21948923', date=null, t1=79.497, t2=64.960, t3=95.316, total=239.773]
Counter[flat='Квартира №117', number='21967206', date=null, t1=68.882, t2=60.922, t3=111.347, total=241.151]
Counter[flat='Квартира №10', number='21967590', date=null, t1=70.392, t2=64.456, t3=106.852, total=241.700]
Counter[flat='Квартира №72', number='21967501', date=null, t1=66.058, t2=53.676, t3=122.792, total=242.526]
Counter[flat='Квартира №121', number='21971370', date=null, t1=91.562, t2=26.274, t3=127.382, total=245.218]
Counter[flat='Квартира №95', number='21967997', date=null, t1=78.334, t2=67.534, t3=103.746, total=249.614]
Counter[flat='Квартира №144', number='21968041', date=null, t1=103.104, t2=36.002, t3=114.938, total=254.044]
Counter[flat='Квартира №123', number='21949395', date=null, t1=102.749, t2=42.318, t3=110.430, total=255.497]
Counter[flat='Квартира №63', number='21968441', date=null, t1=101.610, t2=23.902, t3=130.127, total=255.639]
Counter[flat='Квартира №118', number='21971416', date=null, t1=70.028, t2=69.758, t3=118.033, total=257.819]
Counter[flat='Квартира №82', number='21967513', date=null, t1=84.464, t2=41.747, t3=142.730, total=268.941]
Counter[flat='Квартира №114', number='21949338', date=null, t1=112.115, t2=45.448, t3=113.201, total=270.764]
Counter[flat='Квартира №13', number='21967904', date=null, t1=98.404, t2=74.333, t3=102.408, total=275.145]
Counter[flat='Квартира №115', number='21967511', date=null, t1=73.028, t2=103.395, t3=101.145, total=277.568]
Counter[flat='Квартира №128', number='21968471', date=null, t1=78.877, t2=91.422, t3=126.092, total=296.391]
Counter[flat='Квартира №132', number='21967848', date=null, t1=106.187, t2=95.949, t3=119.426, total=321.562]
Counter[flat='Квартира №61', number='21968453', date=null, t1=89.530, t2=84.928, t3=171.041, total=345.499]
Counter[flat='Квартира №9', number='21948896', date=null, t1=107.155, t2=125.459, t3=114.260, total=346.874]
Counter[flat='Квартира №133', number='21967899', date=null, t1=146.426, t2=48.245, t3=158.294, total=352.965]
Counter[flat='Квартира №55', number='21967879', date=null, t1=123.373, t2=126.053, t3=171.280, total=420.706]
Counter[flat='Квартира №74', number='21968454', date=null, t1=122.547, t2=131.636, t3=168.399, total=422.582]
Counter[flat='Квартира №113', number='21949380', date=null, t1=140.447, t2=133.929, t3=163.868, total=438.244]
Counter[flat='Квартира №60', number='21967979', date=null, t1=166.580, t2=94.442, t3=181.963, total=442.985]
Counter[flat='Квартира №77', number='21968450', date=null, t1=144.997, t2=169.793, t3=183.281, total=498.071]
Counter[flat='Квартира №31', number='21712977', date=null, t1=198.657, t2=126.359, t3=248.821, total=573.837]
Counter[flat='Квартира №125', number='21949344', date=null, t1=190.387, t2=172.793, t3=226.984, total=590.164]
Counter[flat='Квартира №126', number='21949403', date=null, t1=189.744, t2=178.730, t3=239.364, total=607.838]
Counter[flat='Квартира №1', number='21666896', date=null, t1=208.729, t2=157.466, t3=347.044, total=713.239]
Counter[flat='Квартира №25', number='21667083', date=null, t1=223.436, t2=238.120, t3=277.881, total=739.437]
Counter[flat='Квартира №49', number='21666570', date=null, t1=245.492, t2=195.733, t3=309.644, total=750.869]
Counter[flat='Квартира №7', number='21712970', date=null, t1=304.871, t2=268.596, t3=385.402, total=958.869]
Counter[flat='Квартира №127', number='21967896', date=null, t1=336.801, t2=304.596, t3=420.274, total=1061.671]
Counter[flat='Квартира №85', number='21967450', date=null, t1=331.309, t2=331.027, t3=447.781, total=1110.117]
Counter[flat='Квартира №28', number='21666499', date=null, t1=388.323, t2=452.061, t3=479.233, total=1319.617]
Counter[flat='Квартира №37', number='21666539', date=null, t1=510.528, t2=512.948, t3=723.911, total=1747.387]
