Counter[flat='Квартира №115', number='21967511', date=null, t1=57.874, t2=92.118, t3=74.138, total=224.130]
Counter[flat='Квартира №36', number='21712963', date=null, t1=89.321, t2=49.951, t3=99.531, total=238.803]
Counter[flat='Квартира №128', number='21968471', date=null, t1=70.392, t2=70.738, t3=98.210, total=239.340]
Counter[flat='Квартира №18', number='21967958', date=null, t1=83.769, t2=46.142, t3=113.636, total=243.547]
Counter[flat='Квартира №133', number='21967899', date=null, t1=114.834, t2=26.053, t3=104.633, total=245.520]
Counter[flat='Квартира №123', number='21949395', date=null, t1=106.225, t2=57.239, t3=99.730, total=263.194]
Counter[flat='Квартира №125', number='21949344', date=null, t1=94.386, t2=83.113, t3=125.254, total=302.753]
Counter[flat='Квартира №74', number='21968454', date=null, t1=101.556, t2=94.478, t3=107.915, total=303.949]
Counter[flat='Квартира №144', number='21968041', date=null, t1=96.739, t2=68.408, t3=148.194, total=313.341]
Counter[flat='Квартира №77', number='21968450', date=null, t1=89.656, t2=110.199, t3=117.818, total=317.673]
Counter[flat='Квартира №113', number='21949380', date=null, t1=123.067, t2=112.941, t3=144.858, total=380.866]
Counter[flat='Квартира №55', number='21967879', date=null, t1=116.023, t2=106.398, t3=180.130, total=402.551]
Counter[flat='Квартира №60', number='21967979', date=null, t1=134.011, t2=102.234, t3=190.887, total=427.132]
Counter[flat='Квартира №126', number='21949403', date=null, t1=150.393, t2=121.611, t3=197.508, total=469.512]
Counter[flat='Квартира №31', number='21712977', date=null, t1=166.922, t2=131.735, t3=210.827, total=509.484]
Counter[flat='Квартира №49', number='21666570', date=null, t1=171.975, t2=139.176, t3=217.843, total=528.994]
Counter[flat='Квартира №9', number='21948896', date=null, t1=180.636, t2=193.579, t3=203.580, total=577.795]
Counter[flat='Квартира №1', number='21666896', date=null, t1=198.876, t2=114.073, t3=314.374, total=627.323]
Counter[flat='Квартира №28', number='21666499', date=null, t1=174.162, t2=278.375, t3=241.134, total=693.671]
Counter[flat='Квартира №7', number='21712970', date=null, t1=248.978, t2=212.556, t3=300.267, total=761.801]
Counter[flat='Квартира №85', number='21967450', date=null, t1=278.599, t2=262.349, t3=366.551, total=907.499]
Counter[flat='Квартира №127', number='21967896', date=null, t1=286.241, t2=283.010, t3=349.754, total=919.005]
Counter[flat='Квартира №37', number='21666539', date=null, t1=303.572, t2=312.213, t3=428.799, total=1044.584]
