Counter[flat='Квартира №96', number='21968073', date=null, t1=106.147, t2=49.185, t3=94.606, total=249.938]
Counter[flat='Квартира №74', number='21968454', date=null, t1=71.834, t2=86.469, t3=95.599, total=253.902]
Counter[flat='Квартира №112', number='21971429', date=null, t1=108.187, t2=33.560, t3=116.595, total=258.342]
Counter[flat='Квартира №95', number='21967997', date=null, t1=89.170, t2=59.113, t3=112.970, total=261.253]
Counter[flat='Квартира №77', number='21968450', date=null, t1=69.545, t2=65.271, t3=128.800, total=263.616]
Counter[flat='Квартира №13', number='21967904', date=null, t1=112.109, t2=61.890, t3=91.670, total=265.669]
Counter[flat='Квартира №82', number='21967513', date=null, t1=95.580, t2=41.251, t3=138.900, total=275.731]
Counter[flat='Квартира №123', number='21949395', date=null, t1=114.555, t2=54.877, t3=112.956, total=282.388]
Counter[flat='Квартира №144', number='21968041', date=null, t1=93.880, t2=92.197, t3=109.998, total=296.075]
Counter[flat='Квартира №128', number='21968471', date=null, t1=90.018, t2=91.070, t3=127.199, total=308.287]
Counter[flat='Квартира №18', number='21967958', date=null, t1=115.967, t2=39.927, t3=154.896, total=310.790]
Counter[flat='Квартира №59', number='21968016', date=null, t1=102.547, t2=97.855, t3=126.292, total=326.694]
Counter[flat='Квартира №36', number='21712963', date=null, t1=105.911, t2=66.472, t3=158.970, total=331.353]
Counter[flat='Квартира №55', number='21967879', date=null, t1=100.270, t2=108.190, t3=166.912, total=375.372]
Counter[flat='Квартира №125', number='21949344', date=null, t1=134.202, t2=117.408, t3=168.893, total=420.503]
Counter[flat='Квартира №9', number='21948896', date=null, t1=163.864, t2=121.930, t3=154.561, total=440.355]
Counter[flat='Квартира №113', number='21949380', date=null, t1=164.235, t2=145.197, t3=179.269, total=488.701]
Counter[flat='Квартира №49', number='21666570', date=null, t1=173.627, t2=120.988, t3=194.793, total=489.408]
Counter[flat='Квартира №7', number='21712970', date=null, t1=171.595, t2=128.418, t3=196.956, total=496.969]
Counter[flat='Квартира №60', number='21967979', date=null, t1=203.030, t2=123.898, t3=214.316, total=541.244]
Counter[flat='Квартира №126', number='21949403', date=null, t1=180.589, t2=138.820, t3=235.771, total=555.180]
Counter[flat='Квартира №28', number='21666499', date=null, t1=185.601, t2=91.349, t3=297.223, total=574.173]
Counter[flat='Квартира №31', number='21712977', date=null, t1=212.841, t2=153.419, t3=258.125, total=624.385]
Counter[flat='Квартира №37', number='21666539', date=null, t1=209.527, t2=166.166, t3=305.063, total=680.756]
Counter[flat='Квартира №127', number='21967896', date=null, t1=255.071, t2=237.369, t3=314.383, total=806.823]
Counter[flat='Квартира №1', number='21666896', date=null, t1=262.616, t2=170.257, t3=418.197, total=851.070]
Counter[flat='Квартира №85', number='21967450', date=null, t1=343.605, t2=310.638, t3=459.753, total=1113.996]
