Counter[flat='Квартира №34', number='21712954', date=null, t1=68.558, t2=60.553, t3=68.710, total=197.821]
Counter[flat='Квартира №24', number='21968031', date=null, t1=53.612, t2=66.521, t3=83.044, total=203.177]
Counter[flat='Квартира №18', number='21967958', date=null, t1=65.487, t2=48.085, t3=90.144, total=203.716]
Counter[flat='Квартира №130', number='21967952', date=null, t1=56.662, t2=73.353, t3=74.818, total=204.833]
Counter[flat='Квартира №47', number='21967923', date=null, t1=57.589, t2=53.229, t3=95.150, total=205.968]
Counter[flat='Квартира №98', number='21967964', date=null, t1=77.024, t2=29.913, t3=102.521, total=209.458]
Counter[flat='Квартира №96', number='21968073', date=null, t1=53.063, t2=38.427, t3=120.003, total=211.493]
Counter[flat='Квартира №101', number='21967802', date=null, t1=63.923, t2=69.129, t3=79.681, total=212.733]
Counter[flat='Квартира №120', number='21967526', date=null, t1=58.378, t2=57.667, t3=100.755, total=216.800]
Counter[flat='Квартира №95', number='21967997', date=null, t1=71.751, t2=45.282, t3=108.031, total=225.064]
Counter[flat='Квартира №93', number='21967981', date=null, t1=58.583, t2=89.638, t3=77.013, total=225.234]
Counter[flat='Квартира №134', number='21967568', date=null, t1=64.556, t2=57.561, t3=104.542, total=226.659]
Counter[flat='Квартира №23', number='21967854', date=null, t1=85.189, t2=33.528, t3=110.974, total=229.691]
Counter[flat='Квартира №38', number='21666552', date=null, t1=64.559, t2=54.915, t3=113.660, total=233.134]
Counter[flat='Квартира №114', number='21949338', date=null, t1=86.042, t2=51.703, t3=97.257, total=235.002]
Counter[flat='Квартира №115', number='21967511', date=null, t1=66.177, t2=74.193, t3=101.617, total=241.987]
Counter[flat='Квартира №76', number='21968202', date=null, t1=69.744, t2=64.459, t3=108.097, total=242.300]
Counter[flat='Квартира №16', number='21666895', date=null, t1=64.009, t2=74.833, t3=103.803, total=242.645]
Counter[flat='Квартира №117', number='21967206', date=null, t1=65.648, t2=70.577, t3=107.596, total=243.821]
Counter[flat='Квартира №67', number='21967528', date=null, t1=76.215, t2=59.674, t3=108.512, total=244.401]
Counter[flat='Квартира №80', number='21967506', date=null, t1=69.388, t2=75.302, t3=100.755, total=245.445]
Counter[flat='Квартира №129', number='21967906', date=null, t1=81.945, t2=64.243, t3=100.380, total=246.568]
Counter[flat='Квартира №25', number='21667083', date=null, t1=82.438, t2=73.203, t3=95.459, total=251.100]
Counter[flat='Квартира №39', number='21666569', date=null, t1=49.423, t2=149.835, t3=63.670, total=262.928]
Counter[flat='Квартира №56', number='21968075', date=null, t1=72.974, t2=69.179, t3=122.482, total=264.635]
