Counter[flat='Квартира №90', number='21968383', date=null, t1=58.941, t2=28.313, t3=62.019, total=149.273]
Counter[flat='Квартира №144', number='21968041', date=null, t1=51.946, t2=30.779, t3=68.712, total=151.437]
Counter[flat='Квартира №98', number='21967964', date=null, t1=72.282, t2=21.611, t3=61.652, total=155.545]
Counter[flat='Квартира №53', number='21666929', date=null, t1=56.566, t2=33.583, t3=66.387, total=156.536]
Counter[flat='Квартира №104', number='21971388', date=null, t1=72.176, t2=22.485, t3=67.695, total=162.356]
Counter[flat='Квартира №130', number='21967952', date=null, t1=45.302, t2=36.263, t3=83.441, total=165.006]
Counter[flat='Квартира №125', number='21949344', date=null, t1=65.471, t2=49.746, t3=53.768, total=168.985]
Counter[flat='Квартира №118', number='21971416', date=null, t1=51.388, t2=52.323, t3=68.727, total=172.438]
Counter[flat='Квартира №74', number='21968454', date=null, t1=64.309, t2=47.543, t3=69.520, total=181.372]
Counter[flat='Квартира №112', number='21971429', date=null, t1=79.331, t2=27.775, t3=80.972, total=188.078]
Counter[flat='Квартира №10', number='21967590', date=null, t1=47.377, t2=60.612, t3=81.949, total=189.938]
Counter[flat='Квартира №46', number='21967731', date=null, t1=79.035, t2=39.111, t3=75.360, total=193.506]
Counter[flat='Квартира №64', number='21968468', date=null, t1=66.355, t2=37.000, t3=95.057, total=198.412]
Counter[flat='Квартира №95', number='21967997', date=null, t1=65.704, t2=46.655, t3=94.832, total=207.191]
Counter[flat='Квартира №13', number='21967904', date=null, t1=83.697, t2=37.532, t3=98.744, total=219.973]
Counter[flat='Квартира №12', number='21948923', date=null, t1=68.652, t2=65.552, t3=87.843, total=222.047]
Counter[flat='Квартира №82', number='21967513', date=null, t1=68.668, t2=25.430, t3=131.009, total=225.107]
Counter[flat='Квартира №55', number='21967879', date=null, t1=66.015, t2=64.903, t3=98.201, total=229.119]
Counter[flat='Квартира №42', number='21666910', date=null, t1=88.204, t2=59.479, t3=87.295, total=234.978]
Counter[flat='Квартира №115', number='21967511', date=null, t1=66.900, t2=63.907, t3=104.979, total=235.786]
Counter[flat='Квартира №96', number='21968073', date=null, t1=81.804, t2=54.205, t3=141.503, total=277.512]
Counter[flat='Квартира №9', number='21948896', date=null, t1=105.069, t2=88.187, t3=116.796, total=310.052]
Counter[flat='Квартира №7', number='21712970', date=null, t1=106.631, t2=91.019, t3=151.087, total=348.737]
Counter[flat='Квартира №49', number='21666570', date=null, t1=128.259, t2=82.983, t3=138.766, total=350.008]
Counter[flat='Квартира №61', number='21968453', date=null, t1=139.668, t2=66.000, t3=150.741, total=356.409]
Counter[flat='Квартира №25', number='21667083', date=null, t1=127.321, t2=104.304, t3=157.232, total=388.857]
Counter[flat='Квартира №126', number='21949403', date=null, t1=131.694, t2=90.748, t3=173.279, total=395.721]
Counter[flat='Квартира №77', number='21968450', date=null, t1=114.474, t2=133.023, t3=151.576, total=399.073]
Counter[flat='Квартира №37', number='21666539', date=null, t1=132.512, t2=128.416, t3=199.333, total=460.261]
Counter[flat='Квартира №85', number='21967450', date=null, t1=163.866, t2=133.697, t3=199.504, total=497.067]
Counter[flat='Квартира №31', number='21712977', date=null, t1=190.275, t2=86.887, t3=221.806, total=498.968]
Counter[flat='Квартира №60', number='21967979', date=null, t1=171.329, t2=112.500, t3=216.078, total=499.907]
Counter[flat='Квартира №127', number='21967896', date=null, t1=187.636, t2=176.348, t3=257.605, total=621.589]
Counter[flat='Квартира №1', number='21666896', date=null, t1=214.250, t2=140.425, t3=347.945, total=702.620]
