Counter[flat='Квартира №142', number='21968032', date=null, t1=42.905, t2=52.764, t3=97.771, total=193.440]
Counter[flat='Квартира №46', number='21967731', date=null, t1=61.315, t2=48.781, t3=85.206, total=195.302]
Counter[flat='Квартира №8', number='21967610', date=null, t1=58.699, t2=67.578, t3=69.329, total=195.606]
Counter[flat='Квартира №58', number='21967732', date=null, t1=67.564, t2=48.874, t3=80.810, total=197.248]
Counter[flat='Квартира №96', number='21968073', date=null, t1=70.969, t2=49.135, t3=82.155, total=202.259]
Counter[flat='Квартира №109', number='21949350', date=null, t1=67.004, t2=56.418, t3=81.920, total=205.342]
Counter[flat='Квартира №120', number='21967526', date=null, t1=58.760, t2=54.832, t3=93.699, total=207.291]
Counter[flat='Квартира №90', number='21968383', date=null, t1=80.771, t2=31.709, t3=95.838, total=208.318]
Counter[flat='Квартира №67', number='21967528', date=null, t1=78.100, t2=37.452, t3=96.260, total=211.812]
Counter[flat='Квартира №13', number='21967904', date=null, t1=77.006, t2=52.975, t3=86.914, total=216.895]
Counter[flat='Квартира №117', number='21967206', date=null, t1=66.395, t2=54.815, t3=98.414, total=219.624]
Counter[flat='Квартира №63', number='21968441', date=null, t1=98.206, t2=28.956, t3=94.379, total=221.541]
Counter[flat='Квартира №114', number='21949338', date=null, t1=81.975, t2=42.037, t3=97.613, total=221.625]
Counter[flat='Квартира №64', number='21968468', date=null, t1=77.621, t2=47.692, t3=97.703, total=223.016]
Counter[flat='Квартира №61', number='21968453', date=null, t1=57.052, t2=57.565, t3=112.020, total=226.637]
Counter[flat='Квартира №133', number='21967899', date=null, t1=97.141, t2=24.010, t3=110.008, total=231.159]
Counter[flat='Квартира №74', number='21968454', date=null, t1=65.175, t2=85.178, t3=82.668, total=233.021]
Counter[flat='Квартира №10', number='21967590', date=null, t1=59.076, t2=78.597, t3=100.054, total=237.727]
Counter[flat='Квартира №12', number='21948923', date=null, t1=69.771, t2=69.412, t3=100.222, total=239.405]
Counter[flat='Квартира №95', number='21967997', date=null, t1=85.546, t2=49.935, t3=104.884, total=240.365]
Counter[flat='Квартира №112', number='21971429', date=null, t1=97.988, t2=32.707, t3=111.216, total=241.911]
Counter[flat='Квартира №132', number='21967848', date=null, t1=81.491, t2=70.393, t3=96.335, total=248.219]
Counter[flat='Квартира №77', number='21968450', date=null, t1=61.207, t2=84.484, t3=110.881, total=256.572]
Counter[flat='Квартира №82', number='21967513', date=null, t1=88.354, t2=40.119, t3=132.656, total=261.129]
Counter[flat='Квартира №115', number='21967511', date=null, t1=72.455, t2=85.340, t3=111.576, total=269.371]
Counter[flat='Квартира №128', number='21968471', date=null, t1=74.046, t2=83.470, t3=113.366, total=270.882]
Counter[flat='Квартира №36', number='21712963', date=null, t1=84.561, t2=61.493, t3=127.310, total=273.364]
Counter[flat='Квартира №107', number='21971375', date=null, t1=81.415, t2=107.921, t3=105.034, total=294.370]
Counter[flat='Квартира №123', number='21949395', date=null, t1=113.243, t2=65.884, t3=118.551, total=297.678]
Counter[flat='Квартира №18', number='21967958', date=null, t1=98.015, t2=50.669, t3=154.807, total=303.491]
Counter[flat='Квартира №125', number='21949344', date=null, t1=89.610, t2=96.435, t3=127.426, total=313.471]
Counter[flat='Квартира №144', number='21968041', date=null, t1=86.414, t2=130.738, t3=97.152, total=314.304]
Counter[flat='Квартира №59', number='21968016', date=null, t1=121.413, t2=115.721, t3=138.435, total=375.569]
Counter[flat='Квартира №55', number='21967879', date=null, t1=112.913, t2=101.264, t3=166.634, total=380.811]
Counter[flat='Квартира №113', number='21949380', date=null, t1=143.289, t2=136.397, t3=162.762, total=442.448]
Counter[flat='Квартира №60', number='21967979', date=null, t1=157.797, t2=100.382, t3=211.111, total=469.290]
Counter[flat='Квартира №9', number='21948896', date=null, t1=160.934, t2=170.903, t3=171.310, total=503.147]
Counter[flat='Квартира №126', number='21949403', date=null, t1=192.311, t2=140.139, t3=246.934, total=579.384]
Counter[flat='Квартира №28', number='21666499', date=null, t1=164.984, t2=222.250, t3=202.712, total=589.946]
Counter[flat='Квартира №49', number='21666570', date=null, t1=205.761, t2=143.265, t3=247.523, total=596.549]
Counter[flat='Квартира №31', number='21712977', date=null, t1=191.267, t2=148.683, t3=259.804, total=599.754]
Counter[flat='Квартира №7', number='21712970', date=null, t1=198.876, t2=190.659, t3=259.244, total=648.779]
Counter[flat='Квартира №1', number='21666896', date=null, t1=235.672, t2=142.373, t3=374.837, total=752.882]
Counter[flat='Квартира №127', number='21967896', date=null, t1=226.535, t2=228.905, t3=313.099, total=768.539]
Counter[flat='Квартира №85', number='21967450', date=null, t1=321.871, t2=282.071, t3=405.575, total=1009.517]
Counter[flat='Квартира №37', number='21666539', date=null, t1=289.530, t2=307.670, t3=423.362, total=1020.562]
