Counter[flat='Квартира №10', number='21967590', date=null, t1=64.629, t2=64.096, t3=106.334, total=235.059]
Counter[flat='Квартира №64', number='21968468', date=null, t1=83.596, t2=49.562, t3=102.093, total=235.251]
Counter[flat='Квартира №42', number='21666910', date=null, t1=90.781, t2=28.614, t3=116.285, total=235.680]
Counter[flat='Квартира №96', number='21968073', date=null, t1=66.454, t2=34.774, t3=146.161, total=247.389]
Counter[flat='Квартира №2', number='21949330', date=null, t1=76.576, t2=62.136, t3=109.182, total=247.894]
Counter[flat='Квартира №79', number='21967555', date=null, t1=81.462, t2=50.609, t3=120.909, total=252.980]
Counter[flat='Квартира №144', number='21968041', date=null, t1=89.861, t2=44.368, t3=126.578, total=260.807]
Counter[flat='Квартира №78', number='40628580', date=null, t1=182.215, t2=85.859, t3=0.000, total=268.074]
Counter[flat='Квартира №128', number='21968471', date=null, t1=76.136, t2=91.619, t3=104.362, total=272.117]
Counter[flat='Квартира №95', number='21967997', date=null, t1=88.554, t2=70.382, t3=118.036, total=276.972]
Counter[flat='Квартира №112', number='21971429', date=null, t1=106.045, t2=38.579, t3=132.383, total=277.007]
Counter[flat='Квартира №138', number='21967900', date=null, t1=90.453, t2=70.415, t3=130.429, total=291.297]
Counter[flat='Квартира №90', number='21968383', date=null, t1=111.501, t2=62.583, t3=119.921, total=294.005]
Counter[flat='Квартира №46', number='21967731', date=null, t1=95.159, t2=55.182, t3=146.867, total=297.208]
Counter[flat='Квартира №123', number='21949395', date=null, t1=118.724, t2=50.233, t3=130.412, total=299.369]
Counter[flat='Квартира №9', number='21948896', date=null, t1=119.801, t2=36.877, t3=147.065, total=303.743]
Counter[flat='Квартира №104', number='21971388', date=null, t1=132.966, t2=33.891, t3=137.832, total=304.689]
Counter[flat='Квартира №73', number='21967479', date=null, t1=98.365, t2=90.764, t3=137.357, total=326.486]
Counter[flat='Квартира №132', number='21967848', date=null, t1=119.290, t2=103.176, t3=113.156, total=335.622]
Counter[flat='Квартира №115', number='21967511', date=null, t1=106.098, t2=90.967, t3=146.195, total=343.260]
Counter[flat='Квартира №114', number='21949338', date=null, t1=127.446, t2=72.183, t3=152.303, total=351.932]
Counter[flat='Квартира №12', number='21948923', date=null, t1=111.619, t2=124.126, t3=140.226, total=375.971]
Counter[flat='Квартира №18', number='21967958', date=null, t1=119.907, t2=70.850, t3=188.180, total=378.937]
Counter[flat='Квартира №63', number='21968441', date=null, t1=122.950, t2=71.318, t3=192.437, total=386.705]
Counter[flat='Квартира №82', number='21967513', date=null, t1=133.791, t2=73.344, t3=201.362, total=408.497]
Counter[flat='Квартира №55', number='21967879', date=null, t1=117.602, t2=119.068, t3=177.644, total=414.314]
Counter[flat='Квартира №48', number='21968079', date=null, t1=132.445, t2=112.765, t3=179.243, total=424.453]
Counter[flat='Квартира №61', number='21968453', date=null, t1=169.479, t2=53.062, t3=203.598, total=426.139]
Counter[flat='Квартира №113', number='21949380', date=null, t1=136.265, t2=148.662, t3=169.535, total=454.462]
Counter[flat='Квартира №49', number='21666570', date=null, t1=189.615, t2=124.282, t3=243.646, total=557.543]
Counter[flat='Квартира №118', number='21971416', date=null, t1=170.735, t2=203.618, t3=235.269, total=609.622]
Counter[flat='Квартира №77', number='21968450', date=null, t1=180.437, t2=209.245, t3=232.917, total=622.599]
Counter[flat='Квартира №60', number='21967979', date=null, t1=246.049, t2=172.502, t3=278.416, total=696.967]
Counter[flat='Квартира №126', number='21949403', date=null, t1=252.938, t2=170.252, t3=314.058, total=737.248]
Counter[flat='Квартира №31', number='21712977', date=null, t1=249.320, t2=161.881, t3=331.053, total=742.254]
Counter[flat='Квартира №85', number='21967450', date=null, t1=295.195, t2=237.405, t3=378.138, total=910.738]
Counter[flat='Квартира №1', number='21666896', date=null, t1=273.638, t2=236.067, t3=470.387, total=980.092]
Counter[flat='Квартира №25', number='21667083', date=null, t1=336.009, t2=341.543, t3=432.216, total=1109.768]
Counter[flat='Квартира №7', number='21712970', date=null, t1=342.026, t2=350.080, t3=462.819, total=1154.925]
Counter[flat='Квартира №127', number='21967896', date=null, t1=478.893, t2=496.899, t3=634.056, total=1609.848]
Counter[flat='Квартира №37', number='21666539', date=null, t1=639.927, t2=716.779, t3=868.456, total=2225.162]
