Counter[flat='Квартира №123', number='21949395', date=null, t1=55.154, t2=32.099, t3=60.472, total=147.725]
Counter[flat='Квартира №98', number='21967964', date=null, t1=53.041, t2=36.282, t3=58.554, total=147.877]
Counter[flat='Квартира №110', number='21949389', date=null, t1=36.168, t2=44.994, t3=72.502, total=153.664]
Counter[flat='Квартира №133', number='21967899', date=null, t1=62.734, t2=22.138, t3=69.508, total=154.380]
Counter[flat='Квартира №114', number='21949338', date=null, t1=63.531, t2=37.104, t3=62.865, total=163.500]
Counter[flat='Квартира №9', number='21948896', date=null, t1=49.785, t2=73.511, t3=41.592, total=164.888]
Counter[flat='Квартира №4', number='21967572', date=null, t1=41.829, t2=59.789, t3=64.180, total=165.798]
Counter[flat='Квартира №129', number='21967906', date=null, t1=62.346, t2=37.531, t3=68.232, total=168.109]
Counter[flat='Квартира №63', number='21968441', date=null, t1=85.326, t2=23.799, t3=60.765, total=169.890]
Counter[flat='Квартира №109', number='21949350', date=null, t1=49.730, t2=55.783, t3=67.523, total=173.036]
Counter[flat='Квартира №117', number='21967206', date=null, t1=58.029, t2=43.723, t3=71.938, total=173.690]
Counter[flat='Квартира №48', number='21968079', date=null, t1=59.410, t2=64.520, t3=49.873, total=173.803]
Counter[flat='Квартира №137', number='21967213', date=null, t1=54.322, t2=47.761, t3=72.755, total=174.838]
Counter[flat='Квартира №68', number='21967522', date=null, t1=68.724, t2=39.936, t3=72.849, total=181.509]
Counter[flat='Квартира №46', number='21967731', date=null, t1=54.213, t2=53.487, t3=74.668, total=182.368]
Counter[flat='Квартира №61', number='21968453', date=null, t1=49.123, t2=57.151, t3=79.677, total=185.951]
Counter[flat='Квартира №2', number='21949330', date=null, t1=59.090, t2=46.714, t3=80.204, total=186.008]
Counter[flat='Квартира №113', number='21949380', date=null, t1=68.385, t2=56.527, t3=62.942, total=187.854]
Counter[flat='Квартира №58', number='21967732', date=null, t1=56.788, t2=47.676, t3=83.954, total=188.418]
Counter[flat='Квартира №79', number='21967555', date=null, t1=60.109, t2=41.086, t3=87.584, total=188.779]
Counter[flat='Квартира №95', number='21967997', date=null, t1=73.547, t2=47.284, t3=73.675, total=194.506]
Counter[flat='Квартира №42', number='21666910', date=null, t1=69.202, t2=38.010, t3=91.647, total=198.859]
